question,level
Écrivez un court paragraphe sur votre personnalité célèbre préférée. Dites-nous pourquoi vous l'admirez et quelles sont les choses que vous aimez ou n'aimez pas qu'elle fait.,beginner
Écrivez un message à un ami pour lui dire pourquoi la protection des données personnelles est essentielle.,beginner
"Écrivez une carte postale à un ami pour lui parler d'une personne que vous admirez beaucoup. Décrivez-la, ce qu'elle a fait et pourquoi elle est importante pour vous.",beginner
Décrivez dans un paragraphe votre sport préféré.,beginner
Vous discutez avec un ami de votre série télévisée préférée. Décrivez les personnages principaux et dites pourquoi vous aimez cette série.,beginner
Rédigez un petit texte pour expliquer les avantages et les inconvénients de l'utilisation des paiements mobiles dans la vie quotidienne.,intermediate
"Rédigez une lettre à La Poste pour proposer une idée de timbre représentant une figure importante de votre pays, en expliquant pourquoi cette personnalité mériterait cet honneur.",intermediate
Rédigez un article pour votre blog pour partager votre expérience d'un concert auquel vous avez assisté.  ,intermediate
"Rédigez une lettre au maire de votre ville pour partager votre point de vue sur la réouverture des écoles pendant une crise sanitaire, en soulignant les bénéfices et les défis potentiels.",intermediate
Rédigez une lettre ouverte aux athlètes français pour les encourager en vue des Jeux olympiques de Paris 2024,intermediate
Rédigez une lettre au rédacteur en chef d'un journal pour exprimer votre opinion sur l'importance de la protection des journalistes et de la liberté de la presse.,intermediate
Discutez de l'importance et des implications de la restitution des œuvres d'art pillées durant la période coloniale en considérant les perspectives historiques et culturelles,advanced
Vous écrivez une carte postale à un ami pour lui parler de la fête nationale de votre pays. Vous décrivez comment vous la célébrez et ce que vous ressentez pendant cette journée.,beginner
Vous avez rencontré une personne célèbre que vous admirez beaucoup. Écrivez un court paragraphe à un ami pour décrire cette rencontre.,intermediate
Discutez de l'importance des programmes de sensibilisation à la sécurité routière dans les entreprises.,advanced
Écrivez un texte sur votre sportif préféré en expliquant pourquoi vous l'admirez et quelle est sa plus grande réussite selon vous.,beginner
"Rédigez une lettre à un ami pour lui recommander un film, un livre ou une série que vous avez vue.",beginner